Metric,LIRL,PDQN,HPPO,LPPO,CPO
train_final_score,3830.2427,2688.455,820.2245,-1067.8461,-1068.6758
train_avg_last20,3753.405,2420.4915,761.2377,-1120.5223,-1120.0878
train_max_score,4403.243,2905.0137,1173.7405,-191.37396,-299.8803
train_min_score,2807.9932,-997.2432,-779.12256,-1395.986,-1450.6334
train_std,251.96173,672.4812,279.6861,104.167496,100.89057
test_avg_reward,3635.0425,2508.2427,765.0641,-1092.148,-1085.5309
test_std_reward,185.90822,91.172966,200.46223,104.21315,104.69346
test_max_reward,3893.4927,2656.2437,1115.9265,-952.49475,-889.4644
test_min_reward,3317.9934,2382.7441,428.35812,-1313.787,-1285.0876
test_avg_violations,0.0000,44.3000,218.8000,237.6000,241.1000
test_std_violations,0.0000,8.6261,8.5182,10.0817,8.3000
test_total_violations,0,443,2188,2376,2411
train_total_violations,0,94125,212633,241878,242605
train_avg_violation_rate,0.0000,41.9214,0,98.8355,99.0273
