Scale,n_stations,Component,Mean (ms),Std (ms),Min (ms),Max (ms)
small,5,policy_network,0.124733,0.030370,0.112997,0.406659
small,5,hungarian,0.024535,0.008925,0.011692,0.059405
small,5,qp,0.009310,0.001299,0.008407,0.020885
small,5,total,0.158578,0.034213,0.135038,0.464600
medium,50,policy_network,0.225912,0.630863,0.131864,6.467983
medium,50,hungarian,0.316767,0.184993,0.136962,1.161133
medium,50,qp,0.011201,0.002196,0.009141,0.019469
medium,50,total,0.553881,0.669749,0.287085,6.886174
large,100,policy_network,0.189952,0.380704,0.137196,3.974626
large,100,hungarian,0.659057,0.485631,0.267455,3.128351
large,100,qp,0.010712,0.003105,0.008880,0.033709
large,100,total,0.859720,0.710527,0.422798,6.173296
