Metric,LIRL,PDQN,HPPO,LPPO,CPO
train_final_score,3830.2500,2351.5716,910.7284,-1156.4034,-1091.8487
train_avg_last20,3753.4125,2316.0579,520.4934,-1083.5523,-1123.9620
train_max_score,4403.2500,3129.3476,1196.0856,-339.8994,-339.8994
train_min_score,2808.0000,-894.7102,-339.8994,-1411.8213,-1425.0400
train_std,251.9618,769.5416,209.9850,98.8673,97.3086
test_avg_reward,3635.0500,1975.4750,614.2110,-1075.7112,-1128.5442
test_std_reward,185.9082,169.7508,108.3770,113.5220,91.4130
test_max_reward,3893.5000,2348.0000,893.7581,-914.2121,-988.1173
test_min_reward,3318.0000,1773.2500,464.6169,-1265.4811,-1347.5134
test_avg_violations,0.0000,62.9000,217.9000,239.0000,226.5000
test_std_violations,0.0000,10.2513,8.9493,11.6190,8.6400
test_total_violations,0,629,2179,2390,2265
train_total_violations,0,95449,212962,242542,231372
train_avg_violation_rate,0.0000,42.5121,0,99.0315,94.4517
