seed,model,failure_rate,nose_level,avg_makespan,std_makespan,avg_energy,std_energy,success_episodes
1993,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_10_seed_1993\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.0,317.0495718104479,0.0,30493.644487655394,7.275957614183426e-12,10
1993,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_10_seed_1993\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.1,336.47297989068346,1.673071650114474,29468.21147342869,34.40001048217088,10
1993,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_10_seed_1993\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.3,390.05984049345636,3.3486722165145495,28680.585236342777,67.45439654059628,10
1993,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_10_seed_1993\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.5,446.6511643618843,5.0593839361534485,28800.286239805962,157.39423036361217,10
1993,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_10_seed_1993\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.0,317.0495718104479,0.0,30493.644487655394,7.275957614183426e-12,10
1993,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_10_seed_1993\ddpg_lirl_pi_mu_20250921_085501.pth,0.1,0.0,364.6131045144216,16.956116659246895,31440.137803153368,392.9979407137379,10
1993,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_10_seed_1993\ddpg_lirl_pi_mu_20250921_085501.pth,0.3,0.0,371.91845031066305,14.468846067668805,31672.86491355727,362.0517546433118,10
1993,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_10_seed_1993\ddpg_lirl_pi_mu_20250921_085501.pth,0.5,0.0,364.97571047673705,8.612595690694322,31542.63936110363,247.49240264780374,10
3047,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_1_seed_3047\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.0,295.800160866842,0.0,30232.3392613909,0.0,10
3047,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_1_seed_3047\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.1,316.49081286119167,1.0114686490596665,29155.233538599394,51.348104557409926,10
3047,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_1_seed_3047\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.3,358.0445720518998,7.551870881776516,28101.145156874816,215.71923024118684,10
3047,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_1_seed_3047\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.5,418.8470266732087,11.25604750107673,28053.06697978024,246.4369537219883,10
3047,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_1_seed_3047\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.0,295.800160866842,0.0,30232.3392613909,0.0,10
3047,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_1_seed_3047\ddpg_lirl_pi_mu_20250921_085501.pth,0.1,0.0,341.77170312308033,18.54258075053996,31080.154059627974,435.59417319318527,10
3047,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_1_seed_3047\ddpg_lirl_pi_mu_20250921_085501.pth,0.3,0.0,326.42108022102224,11.599090222528995,30716.747197261797,284.2595242399141,10
3047,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_1_seed_3047\ddpg_lirl_pi_mu_20250921_085501.pth,0.5,0.0,320.47081345087594,13.309210082766489,30555.553467792797,331.5427154346198,10
294,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_2_seed_294\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.0,314.60523607851337,0.0,30575.25620244495,0.0,10
294,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_2_seed_294\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.1,335.28731458622235,1.0459496861148392,29485.028303240142,60.188617019966664,10
294,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_2_seed_294\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.3,388.4853459521295,6.52416061296977,28717.39445722989,84.72811341949759,10
294,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_2_seed_294\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.5,446.7636698148942,5.3864063120877175,28819.03043853082,107.81610058375243,10
294,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_2_seed_294\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.0,314.60523607851337,0.0,30575.25620244495,0.0,10
294,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_2_seed_294\ddpg_lirl_pi_mu_20250921_085501.pth,0.1,0.0,353.8105875000267,15.989414546210307,31280.807081119925,381.23195500687984,10
294,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_2_seed_294\ddpg_lirl_pi_mu_20250921_085501.pth,0.3,0.0,369.00630064860644,16.349724163772365,31662.527654379453,400.76344548800677,10
294,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_2_seed_294\ddpg_lirl_pi_mu_20250921_085501.pth,0.5,0.0,372.5139073895055,10.872381323007978,31782.09546922911,256.0397892722529,10
714,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_3_seed_714\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.0,305.62040387134954,0.0,30477.136748142366,0.0,10
714,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_3_seed_714\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.1,325.9938047485713,0.5570501668838092,29392.617409473238,52.734937770038734,10
714,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_3_seed_714\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.3,379.7465425720303,2.8787936382720782,28558.10181601876,142.3485474716923,10
714,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_3_seed_714\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.5,442.6707315944792,5.6787707398770095,28668.893560923938,114.29967659037649,10
714,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_3_seed_714\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.0,305.62040387134954,0.0,30477.136748142366,0.0,10
714,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_3_seed_714\ddpg_lirl_pi_mu_20250921_085501.pth,0.1,0.0,354.40813889922254,16.791042328673342,31411.555218922535,392.2067865998347,10
714,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_3_seed_714\ddpg_lirl_pi_mu_20250921_085501.pth,0.3,0.0,360.03677312257594,8.905404910104036,31544.276661559306,207.54675080157048,10
714,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_3_seed_714\ddpg_lirl_pi_mu_20250921_085501.pth,0.5,0.0,356.859017469951,10.76199683431571,31462.327553965,250.76484708926037,10
1092,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_4_seed_1092\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.0,323.93525028865685,0.0,30427.31095870994,7.275957614183426e-12,10
