episode,makespan,total_energy,working_energy,idle_energy
0,1061.6411211937923,36786.16723732192,23978.63821590173,12807.52902142019
1,1038.7569837735136,36256.63759706584,23913.539703344653,12343.097893721188
2,1064.683804353812,36883.61926374116,23959.748698251205,12923.870565489953
3,1348.8743217900167,42087.269272604215,26422.5114815832,15664.757791021017
4,1363.0714401872144,42469.232531947644,26356.22331837096,16113.009213576683
5,449.3670785670329,28149.107710015593,22599.29951518454,5549.808194831054
6,427.5036347218103,28456.589468287664,22900.03600548394,5556.553462803724
7,429.82111829629866,28306.73831539736,22742.752278880973,5563.986036516388
8,439.4173279455099,28246.440899292556,22604.536640003742,5641.9042592888145
9,441.6673501520235,28631.500212838422,22761.141392215286,5870.358820623137
10,435.5318766109211,28734.35677509875,22897.151043004014,5837.205732094735
11,438.13753261170694,28537.655936933756,22737.15027490338,5800.505662030377
12,444.1869102301386,28594.703552073042,22694.47925484745,5900.224297225593
13,436.9132411888978,28753.251222982006,22872.695012708617,5880.556210273391
14,437.38052183628076,28582.230068089884,22778.567500679186,5803.6625674107
15,429.2539336855672,28561.680055811936,22865.946163334163,5695.733892477773
16,434.4776808451443,28702.390447913152,22886.901960807216,5815.488487105938
17,438.1522507688236,28428.95203921429,22658.802607490445,5770.149431723847
18,444.363204274306,28594.52947343944,22717.473137675268,5877.056335764171
19,444.7725636613362,28850.284508662942,22861.374304345813,5988.910204317129
20,440.9355524522392,28643.908010027546,22759.88710731966,5884.0209027078845
21,441.3615127398744,28832.28465508743,22905.21310980226,5927.071545285171
22,440.4242764006227,28760.96358856014,22840.066654163413,5920.896934396725
23,435.3347875007472,28368.78136571693,22663.438298284924,5705.343067432006
24,437.01907060085915,28593.93887041469,22801.38874329456,5792.55012712013
25,434.00441329345085,28601.407933889346,22824.48310133187,5776.924832557478
26,445.8362777510385,28734.366469198754,22754.792994536896,5979.573474661859
27,444.51462980413476,28695.900280657726,22741.216937292607,5954.68334336512
28,448.1113052163932,28722.787432889185,22702.530171529306,6020.257261359877
29,437.5517257295552,28548.517927055756,22762.99131209222,5785.526614963534
30,429.59196365635745,28514.277902014284,22837.476523739104,5676.801378275179
31,432.95575222657453,28695.785540941142,22907.201850600926,5788.583690340216
32,435.32677730071117,28460.71655883338,22724.768316060065,5735.948242773315
33,435.25367945317436,28574.688894435152,22829.609388966397,5745.079505468753
34,438.96583768917606,28628.37262673261,22785.530379017586,5842.842247715024
35,446.5422819888418,28840.971097689522,22791.187738762645,6049.783358926879
36,444.487475237992,28663.453348392675,22716.21385303131,5947.239495361367
37,442.6591535227589,28618.066689693052,22738.858138236777,5879.208551456274
38,443.24052701830254,28774.24067350585,22812.702308855325,5961.538364650525
39,433.7585434291119,28580.15800307751,22829.60819257091,5750.5498105066
40,435.73523334651946,28799.797224528153,22923.343050545882,5876.454173982272
41,440.49780184613127,28732.97109567112,22833.92877448845,5899.042321182669
42,448.13653482385115,28596.84098278508,22631.363209389834,5965.477773395247
43,430.5980600460534,28628.06481470752,22893.781027000336,5734.283787707185
44,430.9437218038512,28585.739450042645,22862.470338796833,5723.269111245812
