episode,makespan,total_energy,working_energy,idle_energy
0,869.6448499351739,33081.05926494811,22908.113504295692,10172.945760652421
1,869.6448499351739,33081.05926494811,22908.113504295692,10172.945760652421
2,869.6448499351739,33081.05926494811,22908.113504295692,10172.945760652421
3,382.12644578516483,28191.039346837904,23538.630459761713,4652.408887076192
4,367.21157061886043,27618.017927010405,23273.846370001185,4344.17155700922
5,290.0549961944313,29594.645733014193,25750.560455414605,3844.085277599589
6,289.6581084931064,29941.93431946379,25996.78365392924,3945.150665534551
7,297.74064232800913,30136.44905234916,25987.784831151228,4148.66422119793
8,299.55196714612117,30183.168544379696,25985.971784278707,4197.196760100987
9,303.1822080587893,30249.81673423991,25971.375905455214,4278.440828784696
10,308.82761974893344,30392.235001800847,25969.244562093398,4422.990439707451
11,305.3511627518716,30344.278417729238,25995.05729018892,4349.221127540317
12,306.35451541214985,30379.608460023283,26002.64138430141,4376.967075721873
13,306.26387878946184,30395.730520079112,26015.849538830662,4379.88098124845
14,307.1642984787545,30421.8857990743,26017.872369974404,4404.013429099898
15,307.209590527067,30420.80990154329,26016.35373901005,4404.456162533239
16,307.4178574596476,30415.065253134664,26008.86386020197,4406.201392932695
17,308.2203858589978,30400.702201871063,25985.942748573838,4414.759453297223
18,310.7126529543449,30382.873743525313,25935.573249999703,4447.300493525612
19,328.42822131704435,30302.11524351494,25664.428171864984,4637.687071649958
20,1429.4690440297138,44067.76905756089,26497.887819100324,17569.881238460563
21,1430.61261098385,44094.56088743684,26501.808663945143,17592.752223491698
22,1430.6051963567745,44094.37792017469,26501.7739892245,17592.603930950187
23,1430.4653968811049,44091.08115075958,26501.273198236315,17589.80795252326
24,1430.092322713138,44082.27165528643,26499.925124610512,17582.346530675917
25,1428.8038280665887,44051.91686317106,26495.338301745833,17556.578561425235
26,1421.0997087955486,43891.97118407313,26450.998398033997,17440.972786039136
27,304.67314795789065,30383.155191298218,26033.70036737881,4349.454823919407
28,303.1016601084534,30385.615800306725,26064.66131715845,4320.954483148276
29,306.22605618632724,30466.549175611377,26066.662415845443,4399.8867597659355
30,306.1999109587201,30468.959529415522,26069.01399749844,4399.945531917082
31,306.17853333018326,30471.05668834632,26071.045330103865,4400.011358242457
32,306.1281238854316,30472.468434265575,26073.11865484123,4399.349779424346
33,306.06566538838825,30472.84065330743,26074.623128699284,4398.217524608144
34,306.0068187371917,30473.25481467002,26076.095790896106,4397.159023773913
35,305.95801550248945,30473.633075992344,26077.347389471695,4396.285686520647
36,305.91402966692374,30474.012131455944,26078.508229693285,4395.503901762658
37,305.86995919156175,30474.426781962866,26079.701748648855,4394.725033314012
38,305.83484025898633,30474.803747338818,26080.69216317457,4394.111584164247
39,305.8025968959746,30475.162574988684,26081.61231840933,4393.550256579355
40,305.7755290708921,30475.46492275889,26082.38592371378,4393.0789990451085
41,305.75466352022437,30475.691579302118,26082.97760883196,4392.71397047016
42,305.73991044509376,30475.842706006082,26083.388670592038,4392.454035414044
43,305.724710536275,30476.008687040157,26083.820851475466,4392.1878355646895
44,305.7118179864398,30476.155535938542,26084.192715539313,4391.962820399229
45,305.7031507462276,30476.260908803593,26084.448155975104,4391.81275282849
46,305.69269936002064,30476.37436642682,26084.74515166712,4391.629214759696
47,305.6840632590698,30476.475780694127,26084.99708266077,4391.478698033354
48,305.6765799126556,30476.557468955674,26085.210067737757,4391.347401217918
49,305.6692791755765,30476.641637636294,26085.421702832326,4391.219934803969
50,305.66377534504363,30476.70263354482,26085.579279682228,4391.123353862594
51,305.65902978541,30476.755384621465,26085.715218460125,4391.04016616134
52,305.65421339595184,30476.808457712024,26085.852800236407,4390.955657475617
53,305.6501806638008,30476.853765597665,26085.96865443812,4390.885111159546
54,305.6464790794995,30476.89336070242,26086.073386024156,4390.819974678263
55,305.6430218060972,30476.930247481352,26086.171113837067,4390.759133644287
56,305.6399446371958,30476.963631826475,26086.258536102232,4390.7050957242445
57,305.63716570339363,30476.993041386573,26086.33683798104,4390.65620340553
58,305.63456987232837,30477.019586183083,26086.40918492493,4390.610401258153
59,305.6325314805183,30477.041057131304,26086.46652152609,4390.574535605216
60,305.63046502808777,30477.06245709376,26086.524285115138,4390.538171978623
61,305.62897919502257,30477.07836721147,26086.566268976087,4390.512098235384
62,305.6272099919302,30477.095574088213,26086.614794228783,4390.480779859432
63,305.6256534727961,30477.111894179485,26086.658463834465,4390.453430345022
64,305.6242262659063,30477.126955157142,26086.69859516465,4390.428359992493
65,305.62283042700176,30477.142141962173,26086.73823065575,4390.4039113064255
66,305.62167484439306,30477.154717507376,26086.77104099799,4390.383676509384
67,305.6208518410965,30477.16415767555,26086.79479866642,4390.369359009131
68,305.6197325594605,30477.175528999756,26086.82587117954,4390.349657820217
69,305.6185270954885,30477.18768807617,26086.859269114793,4390.328418961379
70,305.61772059659313,30477.19620073376,26086.88192226998,4390.314278463782
71,305.61693127294416,30477.204426682838,26086.904009784135,4390.300416898702
72,305.61620733411394,30477.212208117235,26086.924474237658,4390.287733879575
73,305.6154693443792,30477.21952852567,26086.944808275937,4390.274720249733
74,305.6147655604292,30477.22617427281,26086.963914331813,4390.262259941
75,305.6142161215574,30477.23158710065,26086.979019177576,4390.252567923077
76,305.6135583627854,30477.237541288203,26086.996648937606,4390.240892350598
77,305.612927087049,30477.24339061386,26087.013679768384,4390.229710845477
78,305.6123856519352,30477.248351548533,26087.028247324975,4390.220104223557
79,305.6117822868186,30477.25387046433,26087.044470217235,4390.209400247097
80,305.6113480072399,30477.25792154949,26087.056211696843,4390.20170985265
81,305.610982619622,30477.26153389735,26087.066263212764,4390.195270684583
82,305.61060884145,30477.26492424647,26087.07628653528,4390.188637711189
83,305.6101535356477,30477.268730781674,26087.088214975935,4390.1805158057405
84,305.6098181484304,30477.271886864197,26087.09729765734,4390.174589206859
85,305.6095365371619,30477.274786601756,26087.10513380266,4390.169652799097
86,305.6092221069886,30477.27788937603,26087.11376519513,4390.164124180901
87,305.6089817827161,30477.280188704608,26087.12030286417,4390.159885840438
88,305.60870203802983,30477.282662007085,26087.127736187515,4390.154925819568
89,305.6084605278445,30477.284889474617,26087.13422923463,4390.150660239986
90,305.60823997974313,30477.28662936793,26087.139910277485,4390.146719090444
