episode,makespan,total_energy,working_energy,idle_energy
0,663.5766512155533,29746.24931024489,21896.883344252677,7849.365965992212
1,663.5766512155533,29746.24931024489,21896.883344252677,7849.365965992212
2,663.5766512155533,29746.24931024489,21896.883344252677,7849.365965992212
3,638.9564533084632,29318.3477478321,21846.135911359946,7472.2118364721555
4,545.2743974402543,28221.296314509986,21761.215080524267,6460.081233985717
5,516.1131093636158,28154.41696499213,21935.55480545684,6218.862159535294
6,496.96772823259244,28144.1974644099,22240.880186739992,5903.3172776699075
7,460.99691336899997,27780.548687299946,22127.332768896827,5653.215918403118
8,423.5059231288732,27539.377483595614,22308.54988081426,5230.827602781357
9,372.6437191039324,27608.738746050243,22929.02668852495,4679.712057525294
10,347.5769913215192,28672.96639668629,24029.324831249323,4643.641565436967
11,340.20640599285235,28775.57439918566,24241.984835250834,4533.589563934827
12,353.03802865734315,28721.625292992998,24017.46426028231,4704.161032710688
13,357.37493060082215,28628.61290305456,23872.322205180288,4756.290697874272
14,403.8244564555585,27785.89358261237,22614.0878777002,5171.80570491217
15,366.14235407933575,28016.610334762216,23247.989111428928,4768.621223333287
16,395.7146401323379,27775.100074589158,22683.355642067174,5091.744432521985
17,382.96753858700396,27905.051991008826,22930.847971143805,4974.20401986502
18,357.3987187523394,28256.63893897479,23515.014158925245,4741.624780049545
19,376.39451925233,27888.981416145776,23004.580782585283,4884.400633560492
20,374.24024121984843,27942.054267873296,23070.084265315214,4871.970002558082
21,380.2736068844796,27839.061748149164,22921.186603043516,4917.875145105647
22,369.7797370821236,28000.176952544716,23164.810979062808,4835.365973481907
23,362.3175848543644,28156.039863067665,23379.403378306873,4776.63648476079
24,342.3832219352946,28774.479513649654,24132.11867696076,4642.360836688895
25,331.1625778800923,29377.551790949143,24819.474376688493,4558.07741426065
26,327.71217092840527,29529.216050923707,24992.13890647256,4537.077144451148
27,326.8289319784816,29515.00212409436,24984.60292626295,4530.3991978314125
28,325.35439245847954,29567.97320614253,25048.756682086052,4519.216524056479
29,324.9423248696283,29576.359770409043,25061.010467005275,4515.349303403769
30,324.1385179001067,29609.85924266143,25098.416999352732,4511.442243308699
31,325.35307673281534,29576.833620040787,25057.603355016494,4519.230265024294
32,322.90672252758867,29672.538430001343,25167.633479032833,4504.90495096851
33,325.85203357681223,29578.8321873455,25055.198095078915,4523.634092266582
34,325.4385691176928,29586.68414205497,25065.145142326008,4521.538999728963
35,325.5389763596391,29587.579554880715,25064.937139289155,4522.64241559156
36,325.1371760782845,29603.40764539991,25082.69773044921,4520.7099149507
37,324.64414734318206,29621.922067478037,25104.38907861098,4517.5329888670585
38,325.78008239681515,29590.728861094383,25066.551840512227,4524.177020582155
39,325.587013838695,29609.57956594997,25083.454810674717,4526.124755275253
40,326.0645950636931,29601.90220515884,25071.77473980083,4530.127465358009
41,328.38797223350366,29545.05602922915,24999.659031542342,4545.396997686807
42,327.72121263554556,29555.45723719795,25014.798983591834,4540.658253606113
43,328.32920022907336,29550.35008374531,25005.184758275722,4545.165325469587
44,327.99864487841694,29555.552928135516,25015.361120333626,4540.191807801891
45,328.0868863073566,29558.86035306352,25015.658283471075,4543.202069592444
46,328.36891672315653,29557.254559082026,25011.94140298213,4545.313156099895
47,328.1099153270603,29566.013648296608,25021.868646587467,4544.14500170914
48,328.19753986220053,29565.860778603525,25020.387042234335,4545.473736369189
49,327.67143336617306,29578.043267795274,25036.23706204272,4541.806205752554
50,327.9113226355704,29568.666471209643,25027.053404464124,4541.613066745518
51,328.86207338109546,29546.981145749596,24997.445393554564,4549.535752195031
52,327.7388620149653,29564.7565094426,25025.120671746798,4539.6358376958015
53,328.28925021720596,29548.84927889549,25004.225487300057,4544.623791595432
54,326.4610527692844,29584.676803670955,25052.692677803418,4531.984125867539
55,327.51570372319776,29548.69979590044,25010.935182747737,4537.7646131527035
56,327.49268883936816,29550.224780310793,25012.562907707746,4537.6618726030465
57,329.2672282057218,29508.926071074704,24959.25792354572,4549.668147528982
58,328.64921422653555,29518.874379590634,24973.494387394036,4545.379992196598
59,329.02927219397907,29514.855591177788,24965.25993629561,4549.595654882178
60,329.7184637700442,29502.919556748297,24948.253195433215,4554.666361315081
61,329.2950031377742,29510.125244984098,24959.231416995663,4550.893827988436
