Scale,n_stations,Component,Mean (ms),Std (ms),Min (ms),Max (ms)
small,5,policy_network,0.119914,0.023389,0.109188,0.306903
small,5,hungarian,0.022588,0.006850,0.011252,0.046208
small,5,qp,0.008950,0.001343,0.007799,0.018444
small,5,total,0.151452,0.026674,0.133487,0.361418
medium,50,policy_network,0.193576,0.197822,0.129446,1.758101
medium,50,hungarian,0.370929,0.174997,0.128411,0.886037
medium,50,qp,0.011364,0.001919,0.008821,0.018219
medium,50,total,0.575869,0.275706,0.267228,2.135081
large,100,policy_network,0.178642,0.052826,0.130546,0.519211
large,100,hungarian,0.759554,0.430991,0.257187,1.922730
large,100,qp,0.012440,0.004153,0.008223,0.035674
large,100,total,0.950637,0.450107,0.399941,2.149489
